IDTC;DDCC
115994;05/11/1979
51439;22/01/1994
43108;22/01/1994
16586;16/09/2004
66412;30/08/1995
55790;22/10/1975
115994;16/04/1974
50124;29/11/1978
50891;21/11/1985
43735;11/03/1981
86314;26/02/2001
127408;09/05/2001
86881;29/12/1994
54089;29/12/1994
7359;12/01/2000
53404;14/01/1999
116691;07/08/2002
47455;13/07/1994
30274;23/06/1994
146547;27/12/1994
60712;18/12/1994
66867;29/11/1994
53454;29/10/1994
44014;21/10/1994
42766;02/09/1997
28633;30/12/1994
26660;28/06/1984
20362;03/04/1995
98137;14/10/1997
37879;27/02/1995
109940;01/02/1995
29332;20/11/2000
61222;09/03/2002
46151;18/06/1997
35770;27/12/2004
123666;04/12/2000
109615;12/06/2002
25147;30/11/2000
138823;01/12/2000
111858;03/06/1997
84530;21/01/1998
51548;01/09/1992
70793;05/09/1973
71075;25/10/1993
52166;22/04/1980
73101;18/02/1993
70337;03/02/1994
86841;26/05/1978
60230;18/12/1996
67527;10/01/1995
60314;08/10/1994
67346;05/02/1973
54284;02/02/1994
73372;12/08/1975
147337;07/02/1987
147336;31/12/1992
22795;11/05/1979
30779;29/01/1992
141756;17/01/2002
69958;21/10/1991
135354;24/08/1988
69987;20/11/1994
60921;13/09/1990
86878;28/12/1994
70311;09/11/1992
49406;16/11/1988
57918;16/09/1997
1775;02/11/1979
23147;20/08/1977
49888;14/05/1979
40819;23/09/1980
49888;22/05/1985
117825;08/12/1971
43873;24/05/1973
74586;23/09/1997
47349;06/12/1979
47349;23/11/1988
50149;31/05/1994
119030;06/01/1977
41223;27/05/1975
37746;17/08/1988
122061;31/07/1985
1933;18/12/1990
52508;19/12/1978
45623;16/12/1992
54970;17/05/1989
54970;10/10/1989
41371;01/08/1973
115994;22/01/1979
138576;12/12/1977
130219;16/02/1996
54522;02/09/1983
30399;26/12/1981
41456;01/02/1983
15157;14/06/1979
138346;04/09/1989
17819;26/12/1986
146337;08/06/1989
106925;19/07/1993
16203;20/01/1992
127154;29/03/1984
14022;09/12/1986
22404;10/08/1989
112501;22/11/1998
30112;06/08/1998
47844;07/08/1998
20169;09/02/1998
15157;10/07/1973
14951;29/11/1993
128946;26/01/1998
117481;22/10/1998
4348;20/04/1978
146907;26/01/1998
63873;30/07/1998
53383;15/11/1980
113396;19/12/1995
53964;13/08/1971
53964;13/08/1974
113396;16/12/1995
53408;26/12/1972
118485;06/09/1994
53964;13/08/1975
91271;31/12/2001
50149;18/10/1972
53288;21/01/1987
115994;25/08/1971
44383;07/01/1991
51439;22/01/1994
98221;07/01/2002
113396;23/11/1995
44880;13/03/2001
118396;20/07/1999
54391;29/09/2001
23832;08/08/1995
53404;07/03/1974
24353;31/05/1978
56788;17/08/1983
53179;12/10/1993
47349;22/11/1989
54522;06/11/1989
38485;11/01/1995
1775;02/11/1979
119030;16/06/1980
14524;29/04/1972
47349;21/01/1980
56788;15/10/1983
14524;29/04/1972
122061;18/09/1994
43948;22/01/1994
53404;09/08/1971
96847;11/10/1996
87068;14/11/1996
94636;11/10/1996
1775;22/07/1995
93767;07/11/1995
107586;05/09/1996
46578;06/03/1996
90357;24/09/1996
35472;06/06/1996
96462;27/12/1995
75128;29/01/1998
46904;25/04/1992
35474;18/11/1996
96859;26/11/1996
36165;24/11/1976
53858;24/09/1979
53858;09/09/1994
61971;23/06/1977
52935;24/09/1990
42718;22/04/1981
49895;16/11/1987
54254;12/11/1981
95112;26/08/2003
81655;20/11/1998
109788;28/08/1982
53856;13/12/1991
53856;09/09/1994
106476;14/08/1971
130722;03/12/1990
46904;26/04/1993
52851;07/10/1970
53599;23/07/1992
45730;22/01/1992
53412;08/02/1980
54629;11/08/1982
52851;22/06/1972
46449;31/08/1993
20749;09/12/1987
20030;26/01/1987
28707;22/12/1992
137778;19/12/1977
116564;25/11/1980
137784;12/11/1985
33908;26/04/1991
28857;09/12/1991
10581;17/11/1981
52351;20/01/2001
23726;16/01/1983
23726;16/01/1983
26352;01/12/1982
26352;01/12/1982
147308;28/01/1991
31988;05/12/2000
28816;17/04/1991
147088;20/08/1993
27671;23/11/1992
27623;07/01/1985
19818;06/04/1984
28722;19/02/1973
2064;20/12/2001
80899;16/12/2001
138382;27/12/1981
100609;11/12/1997
51376;29/12/1997
52547;27/12/1997
70317;23/12/1997
144627;27/08/2004
62116;13/11/1997
143573;24/11/1997
143566;06/12/1997
44913;05/12/1997
94334;12/11/1993
94334;14/12/1995
39171;28/02/1996
47003;13/07/1984
41224;27/05/1975
129080;19/03/2001
74418;02/12/1996
53787;24/11/1996
53238;11/11/1996
25157;22/11/1996
51755;23/01/1992
37662;11/02/1977
52544;14/12/1991
40372;30/11/1995
52545;14/12/1991
53167;31/01/1987
30111;14/12/1981
39172;06/01/1986
39172;22/01/1994
53167;18/08/1971
52544;14/12/1991
39175;12/11/1989
53190;01/12/1990
35148;09/12/1983
47319;15/01/1987
40965;29/12/1986
55747;02/01/1985
44579;23/04/1975
44579;07/07/1978
26464;02/09/1975
55746;02/01/1985
53823;03/01/1985
39175;02/12/1984
6991;08/01/1990
14018;12/04/1990
48830;01/06/1970
53164;04/08/1970
50922;03/09/1987
53156;06/05/1981
4586;03/01/1992
37050;07/04/2000
7552;22/03/2002
3678;03/01/1983
7608;01/01/1992
53564;13/01/1998
98187;10/12/1997
52351;07/11/1997
96234;17/04/1997
11036;26/08/1991
52511;21/11/1998
53157;19/11/1997
55457;12/11/1997
31053;05/09/1994
53251;16/08/2000
20770;29/06/1997
9101;16/10/2001
37678;08/02/1993
46502;24/02/1993
139807;14/03/1988
88532;06/01/2000
50699;16/11/1998
26519;07/01/2004
73986;01/10/2003
113396;16/12/1995
53185;21/11/1983
41692;21/01/1994
53537;31/08/1990
54251;30/08/1974
46903;01/02/1978
5083;18/11/1982
48576;05/11/1995
53168;13/05/1981
54250;30/08/1974
57197;08/05/1971
57623;02/10/1976
53856;24/09/1979
53214;21/08/1978
50941;14/10/1985
53587;21/01/1992
42720;11/08/1977
42720;01/08/1978
28480;06/10/1993
129825;01/02/1978
129825;01/02/1978
129824;10/05/1978
129825;19/02/1984
28725;02/09/1977
27701;15/09/1975
27876;02/09/1994
20071;29/12/1970
146596;26/08/1991
27444;11/09/1970
27444;29/10/1981
19593;13/11/1986
12786;24/10/1977
11287;01/09/1981
11309;14/12/1987
5019;02/07/1985
12121;02/12/1997
11403;14/01/1985
126478;03/03/1992
64440;27/12/1996
49895;31/12/1996
113754;28/02/1999
82131;03/02/1999
55457;01/12/1994
53430;12/07/1972
55540;08/10/1971
20453;05/09/1994
8642;28/01/2002
25496;20/11/1987
16164;24/12/2001
28978;02/01/1997
53187;31/12/1996
48567;23/01/1976
125677;09/04/1975
45623;22/01/1992
15156;14/06/1979
27109;25/11/1988
38585;02/12/1990
111950;31/01/1991
25152;03/02/1993
80094;13/12/2005
61428;13/12/2005
48575;21/11/2005
88937;29/05/2004
7575;14/02/2005
120592;16/04/2004
92748;08/10/2003
116582;10/08/2004
8137;29/07/2005
67264;19/12/2005
124517;08/11/2005
145676;30/03/1999
82805;14/09/1998
50302;29/10/1996
11611;16/09/2004
129824;02/06/1997
33908;15/04/1996
14809;07/01/1997
1560;08/12/1997
6536;09/02/1997
14346;07/08/2007
139406;09/08/2007
59027;19/01/2005
118347;15/08/2007
20187;25/06/2007
88429;19/06/2007
100770;20/12/1996
130076;10/07/2007
137778;26/06/2007
75579;25/06/2007
81914;29/01/2007
37946;26/01/2007
20164;23/05/2004
116737;01/07/2004
102861;05/05/2004
84096;25/05/2004
67250;04/06/2004
55641;17/10/2002
105134;10/09/2002
111888;09/10/2002
65584;28/09/2002
66331;09/10/2002
82551;06/04/2004
51247;09/08/2005
44285;12/03/2003
144233;26/08/2005
21988;11/10/2002
26165;09/02/2005
120315;19/04/2002
137585;25/05/2005
6033;22/03/2004
7811;28/06/2005
84753;27/01/1995
96719;02/11/2001
44168;03/12/2001
111134;27/11/2001
21093;23/11/2001
78512;30/11/2001
111800;02/12/1985
1516;25/08/2004
46826;26/01/1987
119428;22/12/1984
144290;16/12/1988
144289;04/11/1985
43274;25/07/1983
41627;14/12/2005
53637;06/11/2005
10497;13/11/1997
73730;31/08/1996
108486;02/02/1999
12317;31/10/1994
34761;07/12/2005
59491;29/11/2005
5796;29/11/2005
13701;24/11/2005
111681;03/09/2002
24106;17/09/1995
61960;04/01/1997
50149;02/10/1974
92502;31/05/1995
52497;12/02/1999
44876;26/03/1998
133514;29/11/1978
29406;16/11/2000
97128;18/06/2000
103115;07/05/1999
89895;07/05/1999
62519;11/08/1998
44481;14/04/2001
133516;06/09/1975
108963;15/09/2005
15869;12/09/2005
35075;09/09/2005
138890;02/10/1991
98171;11/12/2001
89899;08/12/2001
103227;08/08/1986
103227;30/11/1985
103224;11/04/1980
103512;05/11/1981
96449;12/09/1991
103228;20/11/1990
103697;04/01/1993
103307;28/12/1994
103512;26/10/1992
103224;30/11/1985
92148;29/12/1989
111698;22/08/1974
78789;16/09/1982
66750;17/11/2001
94203;30/07/1987
94205;01/10/1987
41646;13/07/2000
86230;27/08/1992
92736;22/05/2000
91792;27/01/2000
43318;09/05/2000
141757;02/07/2002
55763;12/11/2001
141591;01/02/2000
133529;28/01/2000
69987;12/08/2002
16241;10/02/2005
